Task,Category
Organize the spice rack,Household & Errands
Write a poem,Creative & Hobbies
Plan the next drawing for my portfolio,Creative & Hobbies
Follow up on a lead,Work & Productivity
Plan the agenda for the weekly team meeting,Work & Productivity
Check in on a friend who moved away,Social & Communication
Book travel for a business trip,Work & Productivity
Set up a new client folder on Google Drive,Work & Productivity
Plan healthy meals for the week,Health & Wellness
Go for a walk in nature,Health & Wellness
Attend a networking event,Social & Communication
Practice Spanish verbs for 30 minutes,Study & Learning
Leave a comment on a friend's photo,Social & Communication
Clean the bathroom sink,Household & Errands
Research new coding languages,Study & Learning
Learn a new song on the piano,Creative & Hobbies
Drink a cup of herbal tea,Health & Wellness
Write an internal memo,Work & Productivity
Watch a documentary on marine life,Study & Learning
Host a family reunion,Social & Communication
Renew software licenses,Work & Productivity
Send a funny meme to a group chat,Social & Communication
Replace the air filter in the HVAC unit,Household & Errands
Go to a coffee shop with a friend,Social & Communication
Organize my keys and keychains,Miscellaneous
Organize the pantry,Household & Errands
Leave a positive review for a small business,Social & Communication
Buy stamps for letters,Miscellaneous
Practice photography,Creative & Hobbies
Meet a neighbor for a walk,Social & Communication
Book a phone call with a colleague,Social & Communication
Prepare the presentation for the client,Work & Productivity
Plan a surprise party,Social & Communication
Send an encouraging message to someone,Social & Communication
Prepare breakfast smoothies for the week,Health & Wellness
Develop a social media content calendar,Work & Productivity
Create a new playlist,Creative & Hobbies
Get the car washed,Household & Errands
Write a chapter for my novel,Creative & Hobbies
Send flowers to someone who is ill,Social & Communication
Practice calligraphy,Study & Learning
Wash the dishes,Household & Errands
Take the car for an oil change,Miscellaneous
Call the internet service provider,Miscellaneous
Read up on current events,Study & Learning
Plan a date night with a partner,Social & Communication
Write a thank-you note to a friend,Social & Communication
Learn to use a new software tool,Study & Learning
Paint a new canvas,Creative & Hobbies
Eat a balanced meal,Health & Wellness
Have a video call with a long-distance friend,Social & Communication
Do a puzzle,Creative & Hobbies
Walk the dog,Household & Errands
Plan a creative writing session,Creative & Hobbies
Read an article about the latest tech trends,Study & Learning
Get a prescription refilled,Miscellaneous
Plan a group trip,Social & Communication
Practice guitar chords,Creative & Hobbies
Go for a walk in nature,Health & Wellness
Text Sarah about weekend plans,Social & Communication
Meditate for 10 minutes,Health & Wellness
Learn a new knitting stitch,Study & Learning
Go to the hardware store for supplies,Household & Errands
Go for a 20-minute jog,Health & Wellness
Watch a tutorial on using Excel pivot tables,Study & Learning
Attend a spin class,Health & Wellness
Repair a broken chair,Household & Errands
Change the bed sheets,Household & Errands
Take a nap to recharge,Health & Wellness
Call a utility company,Miscellaneous
Send flowers to someone who is ill,Social & Communication
Knit a scarf for a friend,Creative & Hobbies
Listen to an audiobook,Creative & Hobbies
Start a new journaling habit,Creative & Hobbies
Watch a classic movie,Creative & Hobbies
Take an online course on marketing,Study & Learning
Do some light stretching in the morning,Health & Wellness
Solve practice problems for the math quiz,Study & Learning
Go to the post office,Household & Errands
Work on the new knitting project,Creative & Hobbies
Go for a long walk,Health & Wellness
Read the new sci-fi book,Creative & Hobbies
Write a letter to a pen pal,Social & Communication
Sort through mail,Miscellaneous
Refill the hand soap dispensers,Household & Errands
Respond to invitations on Facebook,Social & Communication
Clean the microwave,Household & Errands
Clean the kitchen countertops,Household & Errands
Learn to play a new board game,Study & Learning
Learn a new recipe from a cookbook,Study & Learning
Take notes on the cybersecurity webinar,Study & Learning
Watch a tutorial on using Excel pivot tables,Study & Learning
Study for the history exam,Study & Learning
Learn a new knitting stitch,Study & Learning
Create a business proposal,Work & Productivity
Send a birthday card to Aunt Carol,Social & Communication
Take a dance class,Creative & Hobbies
Call a relative on their birthday,Social & Communication
Attend a lecture on a historical topic,Study & Learning
Drop off a package at a shipping center,Household & Errands
Change a flat tire,Miscellaneous
Schedule a dentist appointment,Health & Wellness
Update the company website,Work & Productivity
Work on a pottery piece,Creative & Hobbies
Read up on car maintenance,Study & Learning
Review and sign contracts,Work & Productivity
Take a nap to recharge,Health & Wellness
Create a new playlist,Creative & Hobbies
Call a utility company,Miscellaneous
Call the internet service provider,Miscellaneous
Limit screen time before bed,Health & Wellness
Schedule an annual physical with the doctor,Health & Wellness
Clean the microwave,Household & Errands
Build a model car,Creative & Hobbies
Eat a balanced meal,Health & Wellness
Read a book before bed,Health & Wellness
Cook a nutritious dinner,Health & Wellness
Send an encouraging message to someone,Social & Communication
Backup computer files to a hard drive,Miscellaneous
Practice a new song on a guitar,Creative & Hobbies
Reply to comments on a social media post,Social & Communication
Schedule a car service,Miscellaneous
Clean the oven,Household & Errands
Limit screen time before bed,Health & Wellness
Prepare the annual report,Work & Productivity
Register for an event,Miscellaneous
Read an article about the latest tech trends,Study & Learning
Write in a gratitude journal,Health & Wellness
Research and book a vacation,Miscellaneous
Review flashcards for a biology test,Study & Learning
Plan a creative writing session,Creative & Hobbies
Organize a book club meeting,Social & Communication
Book a phone call with a colleague,Social & Communication
Read a research paper on AI ethics,Study & Learning
Watch a documentary about ancient civilizations,Study & Learning
Take a warm bath,Health & Wellness
Create a new spreadsheet for tracking expenses,Work & Productivity
Go to the hardware store for supplies,Household & Errands
Return a library book,Miscellaneous
Write in a personal blog,Creative & Hobbies
Renew my passport,Miscellaneous
Renew my driver's license,Miscellaneous
Write an essay on climate change,Study & Learning
Practice guitar chords,Creative & Hobbies
Practice positive affirmations,Health & Wellness
Prepare a healthy lunch for the week,Health & Wellness
Learn a new song on the piano,Creative & Hobbies
Arrange a playdate for the kids,Social & Communication
Attend a networking event,Social & Communication
Take a mental health day,Health & Wellness
Watch a documentary about ancient civilizations,Study & Learning
Write a technical brief,Work & Productivity
Take the car to the mechanic,Miscellaneous
Attend a lecture on a historical topic,Study & Learning
Update project timeline on Asana,Work & Productivity
Have a video call with a long-distance friend,Social & Communication
Schedule a meeting with the development team,Work & Productivity
